"contract_id","lane","file","line","control_type","control_id","control_label","handlers","action_class","backend_slots","data_effect","preconditions","postconditions","current_status","priority","target_state"
"NP02-0143","Billing, Payments & Tax","src\qml\views\TransactionsMasterView.qml","415","ModernComboBox","generalOfficeCombo","generalOfficeCombo","onActivated, onEditTextChanged","selection_change","saveTransaction","Creates/updates transaction row and derived amounts.","Lookup/model options must be loaded before selection change.","Dependent fields/lists refresh and remain coherent with selected value.","wired","P2","live"
"NP02-0144","Billing, Payments & Tax","src\qml\views\TransactionsMasterView.qml","429","ModernComboBox","","(no_label)","","state_binding","saveTransaction","Creates/updates transaction row and derived amounts.","Control binding must evaluate in active context without runtime errors.","Control state/binding updates without side effects or stale state.","unwired","P1","live"
"NP02-0145","Billing, Payments & Tax","src\qml\views\TransactionsMasterView.qml","430","ModernComboBox","","(no_label)","","state_binding","saveTransaction","Creates/updates transaction row and derived amounts.","Control binding must evaluate in active context without runtime errors.","Control state/binding updates without side effects or stale state.","unwired","P1","live"
"NP02-0146","Billing, Payments & Tax","src\qml\views\TransactionsMasterView.qml","432","ModernComboBox","","(no_label)","","state_binding","saveTransaction","Creates/updates transaction row and derived amounts.","Control binding must evaluate in active context without runtime errors.","Control state/binding updates without side effects or stale state.","unwired","P1","live"
"NP02-0147","Billing, Payments & Tax","src\qml\views\TransactionsMasterView.qml","433","ModernComboBox","","(no_label)","","state_binding","saveTransaction","Creates/updates transaction row and derived amounts.","Control binding must evaluate in active context without runtime errors.","Control state/binding updates without side effects or stale state.","unwired","P1","live"
"NP02-0148","Billing, Payments & Tax","src\qml\views\TransactionsMasterView.qml","434","ModernComboBox","","(no_label)","","state_binding","saveTransaction","Creates/updates transaction row and derived amounts.","Control binding must evaluate in active context without runtime errors.","Control state/binding updates without side effects or stale state.","unwired","P1","live"
"NP02-0149","Billing, Payments & Tax","src\qml\views\TransactionsMasterView.qml","435","ModernTextField","","(no_label)","","state_binding","saveTransaction","Creates/updates transaction row and derived amounts.","Control binding must evaluate in active context without runtime errors.","Control state/binding updates without side effects or stale state.","unwired","P1","live"
"NP02-0150","Billing, Payments & Tax","src\qml\views\TransactionsMasterView.qml","436","ModernTextField","","(no_label)","","state_binding","saveTransaction","Creates/updates transaction row and derived amounts.","Control binding must evaluate in active context without runtime errors.","Control state/binding updates without side effects or stale state.","unwired","P1","live"
"NP02-0151","Billing, Payments & Tax","src\qml\views\TransactionsMasterView.qml","438","ModernTextField","","(no_label)","","state_binding","saveTransaction","Creates/updates transaction row and derived amounts.","Control binding must evaluate in active context without runtime errors.","Control state/binding updates without side effects or stale state.","unwired","P1","live"
"NP02-0152","Billing, Payments & Tax","src\qml\views\TransactionsMasterView.qml","439","ModernTextField","","(no_label)","","state_binding","saveTransaction","Creates/updates transaction row and derived amounts.","Control binding must evaluate in active context without runtime errors.","Control state/binding updates without side effects or stale state.","unwired","P1","live"
"NP02-0153","Billing, Payments & Tax","src\qml\views\TransactionsMasterView.qml","442","TextArea","expenseDetailsInput","expenseDetailsInput","onTextChanged","input_change","saveTransaction","Creates/updates transaction row and derived amounts.","Field must accept user input and stay within type/format rules.","Derived values and dirty-state tracking update immediately and consistently.","wired","P2","live"
"NP02-0154","Billing, Payments & Tax","src\qml\views\TransactionsMasterView.qml","452","TextArea","notesInput","notesInput","onTextChanged","input_change","saveTransaction","Creates/updates transaction row and derived amounts.","Field must accept user input and stay within type/format rules.","Derived values and dirty-state tracking update immediately and consistently.","wired","P2","live"
"NP02-0155","Billing, Payments & Tax","src\qml\views\TransactionsMasterView.qml","466","PillButton","","(no_label)","","state_binding","saveTransaction","Creates/updates transaction row and derived amounts.","Control binding must evaluate in active context without runtime errors.","Control state/binding updates without side effects or stale state.","unwired","P1","live"
"NP02-0156","Billing, Payments & Tax","src\qml\views\TransactionsMasterView.qml","467","PillButton","","(no_label)","","state_binding","saveTransaction","Creates/updates transaction row and derived amounts.","Control binding must evaluate in active context without runtime errors.","Control state/binding updates without side effects or stale state.","unwired","P1","live"
